series_id                     	year	period	       value	footnote_codes
JTS000000000000000OSR         	2012	M05	         0.2	
JTS000000000000000OSR         	2012	M06	         0.3	
JTS000000000000000OSR         	2012	M07	         0.3	
JTS000000000000000OSR         	2012	M08	         0.3	
JTS000000000000000OSR         	2012	M09	         0.2	
JTS000000000000000OSR         	2012	M10	         0.2	
JTS000000000000000OSR         	2012	M11	         0.2	
JTS000000000000000OSR         	2012	M12	         0.3	
JTS000000000000000OSR         	2013	M01	         0.3	
JTS000000000000000OSR         	2013	M02	         0.2	
JTS000000000000000OSR         	2013	M03	         0.2	
JTS000000000000000OSR         	2013	M04	         0.3	
JTS000000000000000OSR         	2013	M05	         0.3	
JTS000000000000000OSR         	2013	M06	         0.3	
JTS000000000000000OSR         	2013	M07	         0.3	
JTS000000000000000OSR         	2013	M08	         0.3	
JTS000000000000000OSR         	2013	M09	         0.2	
JTS000000000000000OSR         	2013	M10	         0.2	
JTS000000000000000OSR         	2013	M11	         0.2	
JTS000000000000000OSR         	2013	M12	         0.2	
JTS000000000000000OSR         	2014	M01	         0.2	
JTS000000000000000OSR         	2014	M02	         0.3	
JTS000000000000000OSR         	2014	M03	         0.3	
JTS000000000000000OSR         	2014	M04	         0.3	
JTS000000000000000OSR         	2014	M05	         0.3	
JTS000000000000000OSR         	2014	M06	         0.3	
JTS000000000000000OSR         	2014	M07	         0.3	
JTS000000000000000OSR         	2014	M08	         0.3	
JTS000000000000000OSR         	2014	M09	         0.3	
JTS000000000000000OSR         	2014	M10	         0.3	
JTS000000000000000OSR         	2014	M11	         0.2	
JTS000000000000000OSR         	2014	M12	         0.3	
JTS000000000000000OSR         	2015	M01	         0.2	
JTS000000000000000OSR         	2015	M02	         0.2	
JTS000000000000000OSR         	2015	M03	         0.3	
JTS000000000000000OSR         	2015	M04	         0.3	
JTS000000000000000OSR         	2015	M05	         0.3	
JTS000000000000000OSR         	2015	M06	         0.3	
JTS000000000000000OSR         	2015	M07	         0.3	
JTS000000000000000OSR         	2015	M08	         0.3	
JTS000000000000000OSR         	2015	M09	         0.3	
JTS000000000000000OSR         	2015	M10	         0.3	
JTS000000000000000OSR         	2015	M11	         0.3	
JTS000000000000000OSR         	2015	M12	         0.3	
JTS000000000000000OSR         	2016	M01	         0.3	
JTS000000000000000OSR         	2016	M02	         0.3	
JTS000000000000000OSR         	2016	M03	         0.3	
JTS000000000000000OSR         	2016	M04	         0.3	
JTS000000000000000OSR         	2016	M05	         0.2	
JTS000000000000000OSR         	2016	M06	         0.2	
JTS000000000000000OSR         	2016	M07	         0.2	
JTS000000000000000OSR         	2016	M08	         0.2	
JTS000000000000000OSR         	2016	M09	         0.2	
JTS000000000000000OSR         	2016	M10	         0.3	
JTS000000000000000OSR         	2016	M11	         0.2	
JTS000000000000000OSR         	2016	M12	         0.3	
JTS000000000000000OSR         	2017	M01	         0.3	
JTS000000000000000OSR         	2017	M02	         0.2	
JTS000000000000000OSR         	2017	M03	         0.3	
JTS000000000000000OSR         	2017	M04	         0.2	
JTS000000000000000OSR         	2017	M05	         0.2	
JTS000000000000000OSR         	2017	M06	         0.2	
JTS000000000000000OSR         	2017	M07	         0.2	
JTS000000000000000OSR         	2017	M08	         0.3	
JTS000000000000000OSR         	2017	M09	         0.2	
JTS000000000000000OSR         	2017	M10	         0.2	
JTS000000000000000OSR         	2017	M11	         0.2	
JTS000000000000000OSR         	2017	M12	         0.2	
JTS000000000000000OSR         	2018	M01	         0.2	
JTS000000000000000OSR         	2018	M02	         0.2	
JTS000000000000000OSR         	2018	M03	         0.3	
JTS000000000000000OSR         	2018	M04	         0.2	
JTS000000000000000OSR         	2018	M05	         0.2	
JTS000000000000000OSR         	2018	M06	         0.2	
JTS000000000000000OSR         	2018	M07	         0.2	
JTS000000000000000OSR         	2018	M08	         0.2	
JTS000000000000000OSR         	2018	M09	         0.2	
JTS000000000000000OSR         	2018	M10	         0.2	
JTS000000000000000OSR         	2018	M11	         0.2	
JTS000000000000000OSR         	2018	M12	         0.2	
JTS000000000000000OSR         	2019	M01	         0.2	
JTS000000000000000OSR         	2019	M02	         0.2	
JTS000000000000000OSR         	2019	M03	         0.2	
JTS000000000000000OSR         	2019	M04	         0.2	
JTS000000000000000OSR         	2019	M05	         0.2	
JTS000000000000000OSR         	2019	M06	         0.2	
JTS000000000000000OSR         	2019	M07	         0.2	
JTS000000000000000OSR         	2019	M08	         0.2	
JTS000000000000000OSR         	2019	M09	         0.2	
JTS000000000000000OSR         	2019	M10	         0.2	
JTS000000000000000OSR         	2019	M11	         0.2	
JTS000000000000000OSR         	2019	M12	         0.2	
JTS000000000000000OSR         	2020	M01	         0.3	C
JTS000000000000000OSR         	2020	M02	         0.2	
JTS000000000000000OSR         	2020	M03	         0.2	
JTS000000000000000OSR         	2020	M04	         0.3	
JTS000000000000000OSR         	2020	M05	         0.2	
JTS000000000000000OSR         	2020	M06	         0.2	
JTS000000000000000OSR         	2020	M07	         0.2	
JTS000000000000000OSR         	2020	M08	         0.2	
JTS000000000000000OSR         	2020	M09	         0.2	P
JTS000000MW0000000OSL         	2000	M12	          68	
JTS000000MW0000000OSL         	2001	M01	          92	
JTS000000MW0000000OSL         	2001	M02	          69	
JTS000000MW0000000OSL         	2001	M03	          98	
JTS000000MW0000000OSL         	2001	M04	          85	
JTS000000MW0000000OSL         	2001	M05	          98	
JTS000000MW0000000OSL         	2001	M06	          92	
JTS000000MW0000000OSL         	2001	M07	         130	
JTS000000MW0000000OSL         	2001	M08	          92	
JTS000000MW0000000OSL         	2001	M09	          85	
JTS000000MW0000000OSL         	2001	M10	          81	
JTS000000MW0000000OSL         	2001	M11	          68	
JTS000000MW0000000OSL         	2001	M12	          91	
JTS000000MW0000000OSL         	2002	M01	          87	
JTS000000MW0000000OSL         	2002	M02	          81	
JTS000000MW0000000OSL         	2002	M03	          79	
JTS000000MW0000000OSL         	2002	M04	          93	
JTS000000MW0000000OSL         	2002	M05	          78	
JTS000000MW0000000OSL         	2002	M06	          79	
JTS000000MW0000000OSL         	2002	M07	          89	
JTS000000MW0000000OSL         	2002	M08	          86	
JTS000000MW0000000OSL         	2002	M09	          88	
JTS000000MW0000000OSL         	2002	M10	          90	
JTS000000MW0000000OSL         	2002	M11	          63	
JTS000000MW0000000OSL         	2002	M12	          83	
JTS000000MW0000000OSL         	2003	M01	         104	
JTS000000MW0000000OSL         	2003	M02	          72	
JTS000000MW0000000OSL         	2003	M03	          86	
JTS000000MW0000000OSL         	2003	M04	          84	
JTS000000MW0000000OSL         	2003	M05	          72	
JTS000000MW0000000OSL         	2003	M06	          60	
JTS000000MW0000000OSL         	2003	M07	          68	
JTS000000MW0000000OSL         	2003	M08	          64	
JTS000000MW0000000OSL         	2003	M09	          75	
JTS000000MW0000000OSL         	2003	M10	          75	
JTS000000MW0000000OSL         	2003	M11	          75	
JTS000000MW0000000OSL         	2003	M12	          82	
JTS000000MW0000000OSL         	2004	M01	          87	
JTS000000MW0000000OSL         	2004	M02	          66	
JTS000000MW0000000OSL         	2004	M03	          68	
JTS000000MW0000000OSL         	2004	M04	          66	
JTS000000MW0000000OSL         	2004	M05	          68	
JTS000000MW0000000OSL         	2004	M06	          78	
JTS000000MW0000000OSL         	2004	M07	          68	
JTS000000MW0000000OSL         	2004	M08	          71	
JTS000000MW0000000OSL         	2004	M09	          55	
JTS000000MW0000000OSL         	2004	M10	          62	
JTS000000MW0000000OSL         	2004	M11	          66	
JTS000000MW0000000OSL         	2004	M12	          51	
JTS000000MW0000000OSL         	2005	M01	          75	
JTS000000MW0000000OSL         	2005	M02	          68	
JTS000000MW0000000OSL         	2005	M03	          64	
JTS000000MW0000000OSL         	2005	M04	          69	
JTS000000MW0000000OSL         	2005	M05	          70	
JTS000000MW0000000OSL         	2005	M06	          58	
JTS000000MW0000000OSL         	2005	M07	          86	
JTS000000MW0000000OSL         	2005	M08	          79	
JTS000000MW0000000OSL         	2005	M09	          89	
JTS000000MW0000000OSL         	2005	M10	          87	
JTS000000MW0000000OSL         	2005	M11	          76	
JTS000000MW0000000OSL         	2005	M12	          98	
JTS000000MW0000000OSL         	2006	M01	          89	
JTS000000MW0000000OSL         	2006	M02	          83	
JTS000000MW0000000OSL         	2006	M03	          70	
JTS000000MW0000000OSL         	2006	M04	          80	
JTS000000MW0000000OSL         	2006	M05	          83	
JTS000000MW0000000OSL         	2006	M06	          86	
JTS000000MW0000000OSL         	2006	M07	         120	
JTS000000MW0000000OSL         	2006	M08	          82	
JTS000000MW0000000OSL         	2006	M09	          94	
JTS000000MW0000000OSL         	2006	M10	          85	
JTS000000MW0000000OSL         	2006	M11	          78	
JTS000000MW0000000OSL         	2006	M12	          84	
JTS000000MW0000000OSL         	2007	M01	          78	
JTS000000MW0000000OSL         	2007	M02	          70	
JTS000000MW0000000OSL         	2007	M03	          78	
JTS000000MW0000000OSL         	2007	M04	          92	
JTS000000MW0000000OSL         	2007	M05	          76	
JTS000000MW0000000OSL         	2007	M06	          91	
JTS000000MW0000000OSL         	2007	M07	          98	
JTS000000MW0000000OSL         	2007	M08	          75	
JTS000000MW0000000OSL         	2007	M09	          67	
JTS000000MW0000000OSL         	2007	M10	          79	
JTS000000MW0000000OSL         	2007	M11	          67	
JTS000000MW0000000OSL         	2007	M12	          79	
JTS000000MW0000000OSL         	2008	M01	         106	
JTS000000MW0000000OSL         	2008	M02	          84	
JTS000000MW0000000OSL         	2008	M03	          86	
JTS000000MW0000000OSL         	2008	M04	          92	
JTS000000MW0000000OSL         	2008	M05	          57	
JTS000000MW0000000OSL         	2008	M06	          75	
JTS000000MW0000000OSL         	2008	M07	          58	
JTS000000MW0000000OSL         	2008	M08	          87	
JTS000000MW0000000OSL         	2008	M09	          72	
JTS000000MW0000000OSL         	2008	M10	          80	
JTS000000MW0000000OSL         	2008	M11	          72	
JTS000000MW0000000OSL         	2008	M12	          63	
JTS000000MW0000000OSL         	2009	M01	          50	
JTS000000MW0000000OSL         	2009	M02	          70	
